locus_tag	wp	old_locus_tag.x	protein	PIR_SUPERFAMILY	SMART
HVO_RS04940	WP_004045062.1	HVO_0049	argininosuccinate synthase		
HVO_RS05635	WP_004045306.1	HVO_0193	hypothetical protein		
HVO_RS05640	WP_004045307.1	HVO_0192	hypothetical protein		
HVO_RS20265	WP_013035494.1	HVO_2271	type I restriction-modification system specificity subunit	NA	NA
HVO_RS12745	WP_013035645.1	HVO_1673	hypothetical protein		
HVO_RS13530	WP_049914773.1	HVO_1838	HNH endonuclease		
HVO_RS20415	WP_NA	HVO_C0078	IS630 family transposase	NA	NA
HVO_RS20390	WP_013035683.1	HVO_C0041	hypothetical protein	NA	NA
HVO_RS19435	WP_013035699.1	HVO_C0039	IS4 family transposase		
HVO_RS19465	WP_013035708.1	HVO_C0045	HNH endonuclease		
HVO_RS19470	WP_013035723.1	HVO_C0046	hypothetical protein		
HVO_RS19545	WP_013035729.1	HVO_C0067	sarcosine oxidase		
HVO_RS19360	WP_049941515.1	HVO_C0017	chromosome partitioning protein ParA		
