	X04_mean	p0_mean	theta	prob	log2FC	length
lcl|NC_013967.1_cds_WP_004044826.1_3911	70.8258755088698	47.7515572577534	0.304694288573837	0.871390535048263	0.568728747880744	212
lcl|NC_013967.1_cds_WP_004044823.1_3909	29.2483711842206	39.8143168668739	-0.252378274099109	0.795131237815641	-0.444931019574882	1565
lcl|NC_013967.1_cds_WP_004044820.1_3908	26.0600368929586	24.3984791793962	0.0541133923027482	0.124019420692705	0.0950479026576568	983
lcl|NC_013967.1_cds_WP_004044818.1_3907	59.8139428189037	68.8696028854977	-0.145013201161746	0.51094182978463	-0.203385537820916	1106
lcl|NC_013967.1_cds_WP_004044808.1_3904	35.3711347254694	11.1757797968419	0.859626603355384	0.987530157845228	1.66219700238629	650
lcl|NC_013967.1_cds_WP_004044805.1_3902	1.69432711231217	3.59872477069225	-0.305441764423901	0.854150992345319	-1.08677333666574	1019
lcl|NC_013967.1_cds_WP_004044803.1_3901	8.07865157168535	3.65727218021257	0.626033266449042	0.974202353964384	1.14334651075363	1589
lcl|NC_013967.1_cds_WP_004044797.1_3898	18.0158929408096	4.84606862438107	0.986017065933468	0.992657047803739	1.89438341954743	1499
lcl|NC_013967.1_cds_WP_004044789.1_3895	13.1560067998025	6.11843993471818	0.614308021833202	0.971994651432625	1.10448590899108	2612
lcl|NC_013967.1_cds_WP_004044786.1_3893	13.4301859439484	6.88555153359926	0.460715223858521	0.940639770968691	0.963835155174167	1055
lcl|NC_013967.1_cds_WP_004044777.1_3890	39.13939120276	25.2893695747368	0.351593337095132	0.907205319548467	0.630090242336348	890
lcl|NC_013967.1_cds_WP_004044773.1_3888	46.9437738226561	61.9686887762256	-0.21395626366437	0.721275218451489	-0.400605616822437	377
lcl|NC_013967.1_cds_WP_004044769.1_3886	195.477585664438	33.3562815364923	2.2169116008798	0.999998124859706	2.5509728158265	392
lcl|NC_013967.1_cds_WP_004044767.1_3885	14.4433657989589	18.2104218214381	-0.172289311098366	0.609487549396449	-0.334357362146601	599
lcl|NC_013967.1_cds_WP_004044765.1_3884	21.611310963003	10.5207505089264	0.536006075878619	0.960039082541413	1.03854896564071	1313
lcl|NC_013967.1_cds_WP_004044763.1_3883	14.0963570901268	4.00888457432224	0.57996741577465	0.966175704766373	1.81404959185876	719
lcl|NC_013967.1_cds_3882	4.83421604379669	22.5220966047063	-0.876047664614909	0.990135062899864	-2.2199872811087	1157
lcl|NC_013967.1_cds_WP_004044756.1_3880	23.1016718653575	64.809465894419	-0.848021360336891	0.991165268282452	-1.48820728152072	749
lcl|NC_013967.1_cds_WP_004044752.1_3878	8.17887285940042	7.8959313782035	0.0166154146243508	0.0186355201915077	0.0507925855702797	920
lcl|NC_013967.1_cds_WP_004044748.1_3876	3.56714191565558	1.59295988013938	0.352588099192069	0.907775455891789	1.16305868133065	584
lcl|NC_013967.1_cds_WP_004044747.1_3875	4.83253149402959	5.08348941727701	-0.0285476443184721	0.024550810072558	-0.0730399995311897	998
lcl|NC_013967.1_cds_WP_004044740.1_3872	733.435461626126	388.543389782849	1.68657213994076	0.998798668997817	0.916594304456647	290
lcl|NC_013967.1_cds_WP_004044738.1_3871	26.1931743860763	31.040230096081	-0.12650855215294	0.429799559795017	-0.244948339585079	422
lcl|NC_013967.1_cds_WP_004044731.1_3868	8.28588469011752	3.50525252866826	0.468713418720904	0.94264249734334	1.2411373593411	1454
lcl|NC_013967.1_cds_WP_004044729.1_3867	2.26875075879908	2.24753907769255	0.00363247857271101	0.0034228550937444	0.0135519257040673	761
lcl|NC_013967.1_cds_WP_004044727.1_3866	1.01669637810779	4.22018742157788	-0.646528821538442	0.97199671266023	-2.05341816829664	683
lcl|NC_013967.1_cds_WP_004044724.1_3864	48.4371204828971	64.2320127744497	-0.274984235322266	0.824203893436575	-0.407179404009308	587
lcl|NC_013967.1_cds_WP_004044723.1_3863	5.03799486999482	5.27031937215034	-0.0347086315102432	0.040420900814658	-0.0650407362820577	827
lcl|NC_013967.1_cds_WP_004044720.1_3860	21.1184772225955	87.0393445733451	-1.18826719108656	0.994627652572484	-2.04316188189914	527
lcl|NC_013967.1_cds_WP_004044718.1_3858	58.6579790635467	97.7746049470149	-0.519758926456061	0.956895761307465	-0.737132434890444	1409
lcl|NC_013967.1_cds_WP_004044717.1_3857	296.696128555229	432.094391283462	-0.562126739664935	0.965753113829488	-0.542360402520229	263
lcl|NC_013967.1_cds_WP_004044714.1_3854	7.22497673268402	4.72763291442436	0.223677725263157	0.761147307051966	0.611874922357085	917
lcl|NC_013967.1_cds_WP_013035286.1_3960	225.819309665671	1144.33778973418	-4.0682685624509	0.999999999999995	-2.34127221444565	389
lcl|NC_013967.1_cds_WP_004044713.1_3853	1.04690754735496	5.81147433525794	-0.814249241227669	0.990745471268696	-2.47277016974846	1004
lcl|NC_013967.1_cds_WP_004044710.1_3850	6.59122873043072	6.34446460438651	0.0165494829008707	0.0185226936220588	0.0550490128108255	578
lcl|NC_013967.1_cds_WP_004044709.1_3849	39.4193439234189	4.95008985890782	1.46383645111309	0.999156240912835	2.99337714529528	587
lcl|NC_013967.1_cds_WP_004044704.1_3845	0.730614091185352	1.18794061618107	-0.212874975645703	0.718749705405796	-0.701281235227129	1223
lcl|NC_013967.1_cds_WP_004044703.1_3844	67.145550949373	22.8517610353131	0.807132965783992	0.987087332562403	1.55498646152784	443
lcl|NC_013967.1_cds_WP_013035604.1_3843	4.26014494630442	1.68016443980427	0.483583958901031	0.946636058731249	1.34230007895855	1304
lcl|NC_013967.1_cds_WP_004044701.1_3842	3.55317082447901	1.0745942112348	0.583475226135599	0.966685887569514	1.72531507877264	1352
lcl|NC_013967.1_cds_WP_013035546.1_3840	64.465405034538	100.935894822554	-0.429265632783822	0.929129566280959	-0.646842257056964	722
lcl|NC_013967.1_cds_WP_004044698.1_3839	379.875973533884	1032.63328006127	-3.65174433875378	1	-1.44272762747697	722
lcl|NC_013967.1_cds_WP_004044696.1_3837	79.4015226062059	475.75053800494	-2.18054566768677	1	-2.58296671006569	200
lcl|NC_013967.1_cds_WP_004044690.1_3831	0.725691115925298	3.51315995342556	-0.649768368433912	0.972552747398548	-2.27534175019317	617
lcl|NC_013967.1_cds_WP_004044689.1_3830	18.0783491913135	11.1068652375513	0.381788713324608	0.920707849508418	0.702811252308562	980
lcl|NC_013967.1_cds_WP_004044688.1_3829	15.3712510072918	3.68700758607737	0.991163398161184	0.992480735643123	2.05971229531929	1376
lcl|NC_013967.1_cds_WP_004044681.1_3823	7.75482282881332	8.90897026582324	-0.0826249487830086	0.219412399998382	-0.200164867970067	893
lcl|NC_013967.1_cds_WP_004044680.1_3822	9.69643243811801	48.3495907649115	-1.05630426333776	0.995410490539816	-2.31797773248965	569
lcl|NC_013967.1_cds_WP_004044677.1_3819	83.4893737856994	371.599803653602	-2.64849532288358	1	-2.15408524585683	827
lcl|NC_013967.1_cds_WP_049914905.1_3817	16.4608410085037	15.3475381558874	0.048564957690596	0.10319022687779	0.101030790483742	1139
lcl|NC_013967.1_cds_WP_004044671.1_3813	92.015893492848	61.0967162062182	0.357600276162852	0.910660038341256	0.590788232018211	485
lcl|NC_013967.1_cds_WP_004044669.1_3811	101.945881744555	247.872329350023	-1.25447911639783	0.997331094732033	-1.28179373179294	449
lcl|NC_013967.1_cds_WP_004044705.1_3846	8.98746004210191	4.39539903871436	0.440616404329425	0.935813464741685	1.03191930422453	1658
lcl|NC_013967.1_cds_WP_004044664.1_3806	7.0337915471248	7.24331930021684	-0.0172712248243082	0.00907751859543771	-0.0423483936250643	2009
lcl|NC_013967.1_cds_WP_004044663.1_3805	6.98669650097603	7.99611105658672	-0.0724365078906966	0.174576495485449	-0.194688037967717	548
lcl|NC_013967.1_cds_WP_004044661.1_3803	39.970381257005	30.4461527582074	0.185719737949019	0.657883681347991	0.392671396374229	431
lcl|NC_013967.1_cds_WP_004044660.1_3802	1.75939168146346	8.98320788127243	-1.08412591550088	0.995258023588163	-2.35215402379788	1376
lcl|NC_013967.1_cds_WP_004044658.1_3800	3.78307060304394	1.75889996802596	0.57840980995992	0.965950647233463	1.10488426516025	1652
lcl|NC_013967.1_cds_WP_004044657.1_3799	63.2713679830008	158.950817053832	-0.881347730324406	0.989938942849104	-1.32895573872385	353
lcl|NC_013967.1_cds_WP_004044656.1_3798	26.3977513859892	8.7370375436008	0.620572278757657	0.973189883760039	1.59519894818029	578
lcl|NC_013967.1_cds_WP_004044655.1_3797	18.0755824619771	4.75256926139862	0.749146335510364	0.985127407927782	1.9272625796797	461
lcl|NC_013967.1_cds_WP_004044654.1_3796	5.35153842727718	3.76433563393482	0.19551913073687	0.68801852642699	0.507558421512565	1550
lcl|NC_013967.1_cds_WP_004044650.1_3792	2.17287516041785	3.83556400325706	-0.287987033699775	0.837269559355753	-0.819833446630941	950
lcl|NC_013967.1_cds_3791	6.58429171500762	4.04521906687487	0.307689530094374	0.874344734565452	0.702810422112576	895
lcl|NC_013967.1_cds_WP_013035365.1_3789	45.5654086302361	63.8792625491808	-0.263666946957449	0.810436509028878	-0.487408652101793	617
lcl|NC_013967.1_cds_WP_004044647.1_3787	NA	NA	NA	NA	NA	3524
lcl|NC_013967.1_cds_WP_013035341.1_3786	1.95078400781121	0.952132793740623	0.396025864907304	0.925034680547425	1.03481934554879	1241
lcl|NC_013967.1_cds_WP_004044646.1_3784	6.64651838857338	1.29761735108588	0.771457141758473	0.98571842817565	2.35673380319064	785
lcl|NC_013967.1_cds_WP_013035380.1_3782	683.25800283135	384.680436565795	0.87158730174509	0.987798440336171	0.828769991447392	302
lcl|NC_013967.1_cds_WP_004041397.1_3779	4.11794450147633	1.31718166236577	0.648634007635527	0.977895374186423	1.6444700543845	1103
lcl|NC_013967.1_cds_WP_004043056.1_3775	15.6680981869237	35.9979330782774	-0.4485694484216	0.935257370869584	-1.20008399823901	581
lcl|NC_013967.1_cds_WP_004043055.1_3774	35.4948572484014	21.3326324272944	0.436126363026546	0.934740442388455	0.734548007758571	1361
lcl|NC_013967.1_cds_WP_004044917.1_3955	38.1126701038608	25.600905261488	0.339604686918792	0.899840009489853	0.57407585867945	227
lcl|NC_013967.1_cds_WP_004043053.1_3772	279.84585926207	518.062970707102	-0.708313430281641	0.980522653713403	-0.888495067517394	395
lcl|NC_013967.1_cds_WP_004043052.1_3771	212.157478326691	152.034343529205	0.42041363699797	0.930985654055012	0.480738277470601	371
lcl|NC_013967.1_cds_WP_004043050.1_3769	23.2994289935065	25.9578209683008	-0.0968400127407632	0.286042456737554	-0.155874682522329	1847
lcl|NC_013967.1_cds_WP_004043049.1_3768	9329.82781522894	4012.1430240446	3.70608005464593	0.999999999999999	1.2174774201918	218
lcl|NC_013967.1_cds_WP_013035544.1_3765	3.13925689985362	5.27551558101173	-0.297331823327246	0.846337095398633	-0.748889000497047	1106
lcl|NC_013967.1_cds_WP_004043045.1_3764	3.88821051509663	2.70790655561183	0.224047359703066	0.761887830924443	0.521928376027156	1337
lcl|NC_013967.1_cds_WP_004043043.1_3762	14.4751125338139	25.7273606256185	-0.365858810497831	0.902697963979179	-0.829728894132294	761
lcl|NC_013967.1_cds_WP_013035593.1_3760	22.7238826755722	64.6510959884974	-0.704815182394496	0.980191931628134	-1.50846546791293	1313
lcl|NC_013967.1_cds_WP_004043040.1_3759	28.0032820306176	5.2764036565977	0.790967034188424	0.986639600761217	2.40796908000773	695
lcl|NC_013967.1_cds_WP_004043039.1_3758	778.702693635534	508.741520701701	0.710752313687494	0.985038000204439	0.614139772861368	320
lcl|NC_013967.1_cds_WP_004043038.1_3757	20.8466769148507	76.6616883793146	-1.11404221176358	0.995302684055246	-1.87868834430269	731
lcl|NC_013967.1_cds_WP_004043037.1_3756	7.32879816620179	9.61421056225384	-0.170623115753198	0.60440284155046	-0.391591767191691	758
lcl|NC_013967.1_cds_WP_004043034.1_3753	5.66628950474213	15.344279203118	-0.74238820095852	0.984023670960096	-1.43722465728731	1040
lcl|NC_013967.1_cds_WP_004043033.1_3752	43.6807787174158	31.7877578587338	0.262474807737834	0.825107848462336	0.458527316134274	962
lcl|NC_013967.1_cds_WP_004043032.1_3751	4.08854341436293	0.726425686794722	0.572011678361958	0.965035616437159	2.49269983665542	455
lcl|NC_013967.1_cds_WP_004043030.1_3749	39.6403924799166	198.97813358173	-1.61304900230517	0.997990392940976	-2.32756674471974	347
lcl|NC_013967.1_cds_WP_004043027.1_3746	689.09930895306	108.016638975165	2.91182459174113	1	2.6734583471839	392
lcl|NC_013967.1_cds_WP_004043024.1_3743	332.332205415921	49.7089848721237	2.14864354285213	0.999073090264262	2.74104756066431	437
lcl|NC_013967.1_cds_WP_004043022.1_3741	5174.21320089709	562.349241653879	4.33164009562012	0.999999999999998	3.20180121484313	194
lcl|NC_013967.1_cds_WP_004043020.1_3739	70.1882361220879	33.8309130686392	0.634745668374094	0.975696880705436	1.05288713351372	1199
lcl|NC_013967.1_cds_WP_004043017.1_3736	1.26639963337236	2.12307420936655	-0.194062518427129	0.672307340415775	-0.74542205677824	815
lcl|NC_013967.1_cds_WP_004043016.1_3735	2.20495824473459	18.0986504624035	-0.882797985550988	0.989884619017632	-3.03705888497165	962
lcl|NC_013967.1_cds_3733	1.82165542035422	11.3509333626917	-0.948522001720129	0.990967015896194	-2.63948893850286	577
lcl|NC_013967.1_cds_WP_013035579.1_3780	34.5211691420197	12.3284345976805	0.510705435817733	0.954516982937265	1.48549170042031	1169
lcl|NC_013967.1_cds_WP_004043014.1_3732	0.777781236773532	1.09483901551578	-0.181168213961832	0.636719072822261	-0.493282415721307	2654
lcl|NC_013967.1_cds_WP_004043013.1_3731	1.37545382069777	1.05431884875867	0.150927437574117	0.536396189011216	0.383596468559862	2756
lcl|NC_013967.1_cds_WP_004043012.1_3730	2.15384604421149	1.0140416818934	0.398475183377455	0.925632908010469	1.0867981753535	1124
lcl|NC_013967.1_cds_WP_004043010.1_3728	7.54845431014019	30.1084577011171	-0.707405867719529	0.980436514125961	-1.99591564773905	746
lcl|NC_013967.1_cds_WP_004043009.1_3727	1.12513365489302	3.86379089669932	-0.427635248197167	0.928544130830558	-1.77992062981371	746
lcl|NC_013967.1_cds_WP_004043008.1_3726	1.58250118204171	1.98634127788283	-0.109678031008235	0.348759666913584	-0.327906939661513	1103
lcl|NC_013967.1_cds_WP_013035402.1_3725	134.503789654181	1154.34215591436	-3.51873363731513	1	-3.10135218679802	365
lcl|NC_013967.1_cds_WP_004043006.1_3724	4.88584347620695	13.0266681341191	-0.575752967727973	0.967645249802208	-1.41478857809389	1064
lcl|NC_013967.1_cds_WP_004043002.1_3721	533.087983151161	68.7200486475293	3.53600738381815	1	2.95557069839216	1046
lcl|NC_013967.1_cds_WP_004043001.1_3720	2870.07293257706	557.42637533725	4.86654582999494	0.999999999999998	2.364234226152	341
lcl|NC_013967.1_cds_WP_004042992.1_3715	9.23776509997702	9.36328723668883	-0.00844984356659523	1.11022302462516e-16	-0.0194712546073809	1160
lcl|NC_013967.1_cds_WP_004042985.1_3712	152.390166600203	162.433696653766	-0.0820608335207453	0.216780290544807	-0.0920811368126467	593
lcl|NC_013967.1_cds_WP_004042983.1_3711	4.02319598057717	7.58921037111598	-0.430597672479297	0.929609115175443	-0.915607769251448	863
lcl|NC_013967.1_cds_WP_004042970.1_3705	57.8425145052497	20.1765783286362	0.627956626554113	0.974529191086965	1.5194487360125	464
lcl|NC_013967.1_cds_WP_004042966.1_3703	5189.81849884699	792.638210602891	6.36475662917964	0.999999999999998	2.71094966285096	224
lcl|NC_013967.1_cds_WP_004042964.1_3702	3183.86407950363	622.721299140264	4.87167887960971	0.999999999999998	2.35412021779615	362
lcl|NC_013967.1_cds_WP_004042958.1_3700	4040.43667222112	6975.97531229547	-1.30872054773246	0.999176605560574	-0.787883713088568	191
lcl|NC_013967.1_cds_WP_004042952.1_3697	1.24052367932509	3.06288291868008	-0.466463859978366	0.940411836410339	-1.3039409458394	1664
lcl|NC_013967.1_cds_WP_004042951.1_3696	1.98628039544514	3.74684699672374	-0.420223423021912	0.925903619821469	-0.915607769251448	1748
lcl|NC_013967.1_cds_WP_004042948.1_3694	1072.48638606761	2404.59937991484	-1.70906514000166	0.998102589141255	-1.16483721817294	329
lcl|NC_013967.1_cds_WP_004042946.1_3693	31.6159153299088	107.212387785248	-0.923034611374291	0.989633195238097	-1.76174871718812	479
lcl|NC_013967.1_cds_WP_004043054.1_3773	18.9690746682277	15.5915757165696	0.164670275522874	0.586051078266944	0.282882567138249	1025
lcl|NC_013967.1_cds_WP_004042943.1_3691	4.93486373928418	3.30757284824005	0.310520406116082	0.876742843832338	0.577237317999687	1757
lcl|NC_013967.1_cds_WP_004042941.1_3690	35.1485977422869	55.513791077529	-0.452617724141352	0.936415443952995	-0.659379085220363	1046
lcl|NC_013967.1_cds_WP_004042940.1_3689	101.916916508349	85.4043728498513	0.228891071116388	0.771610194226106	0.255011689393293	1352
lcl|NC_013967.1_cds_WP_004042938.1_3688	21477.9691772898	4468.57719690076	5.26869438227442	0.999999999999999	2.2649701346204	230
lcl|NC_013967.1_cds_WP_004042936.1_3687	15770.0934014266	7355.7261279805	3.07088513188887	1	1.10025153406415	176
lcl|NC_013967.1_cds_WP_004042923.1_3685	20.4431608837728	10.3775098113532	0.571984981830734	0.965031829879485	0.978157984435283	560
lcl|NC_013967.1_cds_WP_004044868.1_3933	25.7152801417854	225.210134707726	-2.53845416634448	1	-3.13057397618633	632
lcl|NC_013967.1_cds_WP_004042917.1_3682	24.8153801284845	24.1084507407855	0.0249323202819483	0.0328567229879988	0.0416956110507283	1145
lcl|NC_013967.1_cds_WP_004042913.1_3680	11.212407371005	11.7380127685753	-0.0254112043493496	0.0182566055362109	-0.0660921159223614	554
lcl|NC_013967.1_cds_WP_004042912.1_3679	26.872366187626	57.8103554703088	-0.690656193919231	0.978757081412067	-1.10520458306379	440
lcl|NC_013967.1_cds_WP_004042919.1_3683	3.20126227636694	1.83188497450231	0.283961457503228	0.850244830010921	0.805311962032283	1196
lcl|NC_013967.1_cds_WP_004042908.1_3677	8.7924502379507	14.4210188684427	-0.406170749479006	0.920619954694344	-0.713835927070604	1460
lcl|NC_013967.1_cds_WP_004042907.1_3676	0.34720181312381	1.30652101941497	-0.98603811432776	0.993547841709412	-1.91188394822064	1112
lcl|NC_013967.1_cds_WP_004042904.1_3675	5.95098153668201	5.2868772957648	0.0626413716679547	0.156902478920156	0.170711798453143	410
lcl|NC_013967.1_cds_WP_004042903.1_3674	256.156189231917	125.287501117418	1.10473189301139	0.995843745658593	1.03178125427156	476
lcl|NC_013967.1_cds_WP_004042901.1_3673	11.497352785442	11.9829506719776	-0.0291185039425083	0.0260196172139248	-0.0596814746583622	968
lcl|NC_013967.1_cds_WP_004042900.1_3672	5.85812679650056	13.6135664716703	-0.505696406260712	0.952579443902243	-1.21653374734729	1118
lcl|NC_013967.1_cds_WP_004042898.1_3671	17.1067903842175	17.0776937021369	0.00111731160635383	0.00271122311895144	0.00245594749801376	848
lcl|NC_013967.1_cds_WP_004042896.1_3670	378.603025719458	397.911393523599	-0.0955153160141842	0.279808422662857	-0.0717612679522872	236
lcl|NC_013967.1_cds_WP_004042895.1_3669	95.7261631427278	199.989447584501	-0.888752129590092	0.989661590304194	-1.0629386883123	506
lcl|NC_013967.1_cds_WP_008578059.1_3666	3029.77378972688	1069.90517568574	4.08228098479402	1	1.50172714450819	245
lcl|NC_013967.1_cds_WP_004042883.1_3663	85.5053793495295	162.381501573431	-0.711343287884836	0.980811965308124	-0.925300199333917	995
lcl|NC_013967.1_cds_WP_004042882.1_3662	14.3386077135344	10.0456447612062	0.251137186856841	0.809909334911507	0.513334780614916	1157
lcl|NC_013967.1_cds_WP_013035270.1_3661	2.51676756027178	3.7057022158168	-0.177870985897404	0.626579699012034	-0.558174972950914	977
lcl|NC_013967.1_cds_WP_004042880.1_3660	15.8264064856894	6.86695450042276	0.522518155478249	0.957422195925985	1.20459140737309	1481
lcl|NC_013967.1_cds_WP_004042875.1_3658	16.9468790923967	9.0897896157838	0.450758493339651	0.938253124040874	0.89870080505064	959
lcl|NC_013967.1_cds_WP_004042874.1_3657	4.37955977985189	8.5874257399893	-0.441135599396549	0.93291297311045	-0.971439856480576	1187
lcl|NC_013967.1_cds_WP_004042869.1_3656	424.148429337091	481.885039240172	-0.246267653932358	0.785108631732746	-0.184119791897926	203
lcl|NC_013967.1_cds_WP_004042862.1_3655	11.0214493134677	22.4531575918369	-0.571035021522811	0.967154645675333	-1.02660439586262	1100
lcl|NC_013967.1_cds_WP_004042855.1_3650	66.1202116377003	30.1988939309761	0.572519747144206	0.965107728872736	1.13059563225633	407
lcl|NC_013967.1_cds_WP_004042854.1_3649	1.02087507530177	2.64233923357085	-0.40328706775434	0.919484713373342	-1.37200936303708	1379
lcl|NC_013967.1_cds_WP_004042852.1_3648	1715.11836303846	6027.11231587054	-7.1682407745114	0.999999999999999	-1.81315880730969	212
lcl|NC_013967.1_cds_WP_004042848.1_3646	5.89627938023153	12.0723982509562	-0.300397342390024	0.84928062601978	-1.03383551457728	659
lcl|NC_013967.1_cds_WP_013035460.1_3644	688.014961256778	5923.17951506219	-8.33064934648993	0.999999999999988	-3.10585996829749	344
lcl|NC_013967.1_cds_WP_004042840.1_3643	1338.83456937858	4730.50999100614	-3.2031888084062	1	-1.82101801956669	248
lcl|NC_013967.1_cds_WP_004042832.1_3640	1.11187319492641	7.63681965987792	-0.861141423468473	0.99073231708701	-2.7799796921683	1232
lcl|NC_013967.1_cds_WP_004042830.1_3639	39.1861712756553	40.1770021439272	-0.0167945111775744	0.0085407190545399	-0.0360252997815934	578
lcl|NC_013967.1_cds_WP_004042829.1_3638	21.9443345232185	0.726425686794722	1.69138800327042	0.998939118280715	4.91688949194613	272
lcl|NC_013967.1_cds_WP_013035552.1_3637	5.24907595609324	3.05010199229403	0.333246619128705	0.895166145416206	0.783205988306671	1187
lcl|NC_013967.1_cds_WP_013035469.1_3634	NA	NA	NA	NA	NA	644
lcl|NC_013967.1_cds_WP_004042800.1_3629	30.2104868733196	31.9031343039226	-0.0388950970485386	0.0512275419297668	-0.078648732865533	884
lcl|NC_013967.1_cds_WP_004042798.1_3628	9.81058775644163	42.6248782328969	-1.21964740448374	0.994922470574584	-2.11928423616154	989
lcl|NC_013967.1_cds_WP_004044832.1_3914	21.5533399597993	12.3323418634024	0.385441013989607	0.921816543289949	0.805464662400167	647
lcl|NC_013967.1_cds_WP_004042793.1_3625	1.12536956910533	3.88878847320515	-0.634885531429077	0.97053655058858	-1.78892190553347	1868
lcl|NC_013967.1_cds_WP_013035573.1_3624	NA	NA	NA	NA	NA	1358
lcl|NC_013967.1_cds_WP_004042787.1_3622	8.80543466455395	3.65765347162732	0.381969024242767	0.920762435600493	1.26747582214572	599
lcl|NC_013967.1_cds_WP_004042835.1_3642	373.290487824727	1329.07526123131	-5.94356828928124	1	-1.83205215056203	365
lcl|NC_013967.1_cds_WP_004042785.1_3621	14.3995684056075	12.2547318895292	0.110701183181718	0.374179082468512	0.232686649707401	653
lcl|NC_013967.1_cds_WP_004042783.1_3620	2.43821497980204	2.55883834486953	-0.0287344809684345	0.0250314984572467	-0.069663672304329	1424
lcl|NC_013967.1_cds_WP_004042779.1_3618	1.27737091732485	0.899041691577626	0.186405337198209	0.659986560782009	0.506717584278693	1616
