new	old	variable	prot	val01
HVO_RS00455	HVO_B0094	de08	hypothetical protein	1.16063504170607
HVO_RS00455	HVO_B0094	de24	hypothetical protein	1.68913141647866
HVO_RS00405	HVO_B0084	de02	DNA polymerase III subunit delta'	1.68642650871938
HVO_RS00405	HVO_B0084	de04	DNA polymerase III subunit delta'	3.36658302949727
HVO_RS00405	HVO_B0084	de08	DNA polymerase III subunit delta'	3.30121952582393
HVO_RS00405	HVO_B0084	de24	DNA polymerase III subunit delta'	2.89219537246891
HVO_RS00395	HVO_B0082	de04	peptide ABC transporter substrate-binding protein	3.2121578656253
HVO_RS00390	HVO_B0081	de02	peptide ABC transporter	1.99482214563752
HVO_RS00390	HVO_B0081	de04	peptide ABC transporter	3.59402496499756
HVO_RS00390	HVO_B0081	de08	peptide ABC transporter	2.41450207311288
HVO_RS00370	HVO_B0077	de04	hypothetical protein	2.89053486632612
HVO_RS00370	HVO_B0077	de08	hypothetical protein	2.21955116486178
HVO_RS00365	HVO_B0076	de04	hydantoinase subunit beta	4.14036298867382
HVO_RS00365	HVO_B0076	de08	hydantoinase subunit beta	3.08491327860532
HVO_RS00365	HVO_B0076	de24	hydantoinase subunit beta	2.32520343131242
HVO_RS00350	HVO_B0073	de02	transcriptional regulator	4.22459493014813
HVO_RS00350	HVO_B0073	de04	transcriptional regulator	4.9034678436211
HVO_RS00350	HVO_B0073	de08	transcriptional regulator	4.15557554533011
HVO_RS00350	HVO_B0073	de24	transcriptional regulator	3.92436245013184
HVO_RS00320	HVO_B0066	de02	transcriptional regulator	1.2560173606582
HVO_RS00320	HVO_B0066	de04	transcriptional regulator	2.00747883877262
HVO_RS00320	HVO_B0066	de08	transcriptional regulator	2.42707614476454
HVO_RS00320	HVO_B0066	de24	transcriptional regulator	2.24178991512019
HVO_RS00315	HVO_B0065	de08	hypothetical protein	4.31832334543753
HVO_RS00315	HVO_B0065	de24	hypothetical protein	4.24527301665097
HVO_RS00310	HVO_B0064	de08	hypothetical protein	4.01897511593936
HVO_RS00310	HVO_B0064	de24	hypothetical protein	3.86696881632529
HVO_RS00305	HVO_B0063	de02	hypothetical protein	2.38065924691828
HVO_RS00305	HVO_B0063	de04	hypothetical protein	3.04951310000733
HVO_RS00305	HVO_B0063	de08	hypothetical protein	4.1871451910015
HVO_RS00305	HVO_B0063	de24	hypothetical protein	4.47952927654727
HVO_RS00290	HVO_B0060	de24	precorrin-4 C(11)-methyltransferase	1.74854347663389
HVO_RS00265	HVO_B0055	de24	hypothetical protein	3.35595988502165
HVO_RS00240	HVO_B0050	de08	cobaltochelatase subunit CobN	2.34696893237439
HVO_RS00240	HVO_B0050	de24	cobaltochelatase subunit CobN	2.59534260948341
HVO_RS00225	HVO_B0047	de04	iron ABC transporter substrate-binding protein	4.50164716199999
HVO_RS00225	HVO_B0047	de08	iron ABC transporter substrate-binding protein	5.63351314018239
HVO_RS00225	HVO_B0047	de24	iron ABC transporter substrate-binding protein	6.01158655317921
HVO_RS00220	HVO_B0046	de04	diaminobutyrate--2-oxoglutarate transaminase	2.98054482786886
HVO_RS00220	HVO_B0046	de08	diaminobutyrate--2-oxoglutarate transaminase	4.86964724085807
HVO_RS00220	HVO_B0046	de24	diaminobutyrate--2-oxoglutarate transaminase	5.73134946422326
HVO_RS00215	HVO_B0045	de08	2,4-diaminobutyrate decarboxylase	3.22144663717373
HVO_RS00215	HVO_B0045	de24	2,4-diaminobutyrate decarboxylase	4.287308080482
HVO_RS00210	HVO_B0044	de08	iron transporter	3.61138236715835
HVO_RS00210	HVO_B0044	de24	iron transporter	4.51196995801478
HVO_RS00205	HVO_B0043	de08	N-acetyltransferase	4.10174843287275
HVO_RS00205	HVO_B0043	de24	N-acetyltransferase	4.55778162853514
HVO_RS00200	HVO_B0042	de08	lysine 6-monooxygenase	4.52642234831125
HVO_RS00200	HVO_B0042	de24	lysine 6-monooxygenase	5.25688966972182
HVO_RS00195	HVO_B0041	de08	iron transporter	4.32886499892127
HVO_RS00195	HVO_B0041	de24	iron transporter	5.05859933662171
HVO_RS00090	HVO_B0020	de02	bacterio-opsin activator	1.88927780211817
HVO_RS00090	HVO_B0020	de04	bacterio-opsin activator	2.26253744016183
HVO_RS00090	HVO_B0020	de08	bacterio-opsin activator	1.73807133040899
HVO_RS00070	HVO_B0016	de02	hypothetical protein	-0.90526866101752
HVO_RS00070	HVO_B0016	de04	hypothetical protein	-0.754223562821889
HVO_RS00070	HVO_B0016	de24	hypothetical protein	0.538522407347945
HVO_RS00045	HVO_B0009	de08	ring-hydroxylating oxygenase subunit alpha	2.70170070284179
HVO_RS01840	HVO_B0382	de02	transcription factor	-1.2980780289197
HVO_RS01840	HVO_B0382	de04	transcription factor	-1.48019952346171
HVO_RS01840	HVO_B0382	de08	transcription factor	-1.24317113808635
HVO_RS01835	HVO_B0381	de24	thiaminase II	4.41105787641158
HVO_RS01830	HVO_B0380	de24	transcriptional regulator	3.82763573450206
HVO_RS01825	HVO_B0379	de02	sodium:proline symporter	-2.01253277642008
HVO_RS01825	HVO_B0379	de04	sodium:proline symporter	-2.60245232958334
HVO_RS01825	HVO_B0379	de08	sodium:proline symporter	-2.69335927481956
HVO_RS01820	HVO_B0378	de02	pyridoxamine 5'-phosphate oxidase	-2.83342675342575
HVO_RS01820	HVO_B0378	de04	pyridoxamine 5'-phosphate oxidase	-3.77799061565219
HVO_RS01820	HVO_B0378	de08	pyridoxamine 5'-phosphate oxidase	-3.82701815493503
HVO_RS01820	HVO_B0378	de24	pyridoxamine 5'-phosphate oxidase	-2.34080037402957
HVO_RS01810	HVO_B0376	de04	aryl-alcohol dehydrogenase	1.76137639309116
HVO_RS01810	HVO_B0376	de08	aryl-alcohol dehydrogenase	1.35850014473812
HVO_RS01810	HVO_B0376	de24	aryl-alcohol dehydrogenase	1.46563749574908
HVO_RS01805	HVO_B0375	de02	hypothetical protein	3.6554550644764
HVO_RS01805	HVO_B0375	de04	hypothetical protein	3.961033377796
HVO_RS01805	HVO_B0375	de08	hypothetical protein	3.68007194069986
HVO_RS01805	HVO_B0375	de24	hypothetical protein	3.47751583556011
HVO_RS01800	HVO_B0372	de02	hypothetical protein	1.66040102109645
HVO_RS01800	HVO_B0372	de04	hypothetical protein	2.1228475328231
HVO_RS01800	HVO_B0372	de08	hypothetical protein	2.2051913067485
HVO_RS01800	HVO_B0372	de24	hypothetical protein	1.66525878469675
HVO_RS01770	HVO_B0366	de04	chaperone TorD	-2.35412428494913
HVO_RS01770	HVO_B0366	de08	chaperone TorD	-4.34606402073982
HVO_RS01750	HVO_B0362	de00	hypothetical protein	-3.09353899712987
HVO_RS01750	HVO_B0362	de02	hypothetical protein	-4.57930457112192
HVO_RS01750	HVO_B0362	de04	hypothetical protein	-4.1994711992806
HVO_RS01750	HVO_B0362	de08	hypothetical protein	-6.18575726078139
HVO_RS01750	HVO_B0362	de24	hypothetical protein	-3.74614528498706
HVO_RS01745	HVO_B0361	de02	transcriptional regulator	-2.32741759935443
HVO_RS01745	HVO_B0361	de04	transcriptional regulator	-2.53233103389242
HVO_RS01735	HVO_B0359	de02	hypothetical protein	-2.33282198529454
HVO_RS01735	HVO_B0359	de04	hypothetical protein	-3.14023892286771
HVO_RS01730	HVO_B0358	de02	hypothetical protein	2.86014225899509
HVO_RS01730	HVO_B0358	de04	hypothetical protein	2.15707326011881
HVO_RS01720	HVO_B0356	de02	hypothetical protein	2.73342822700896
HVO_RS01720	HVO_B0356	de04	hypothetical protein	2.56238885009455
HVO_RS01665	HVO_B0345	de04	mandelate racemase	-2.21504073628206
HVO_RS01480	HVO_B0308	de02	dehydrogenase	3.25524635961538
HVO_RS01480	HVO_B0308	de08	dehydrogenase	2.54998134055702
HVO_RS01455	HVO_B0301	de02	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase	3.48963668378721
HVO_RS01455	HVO_B0301	de08	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase	3.03880124218842
HVO_RS01455	HVO_B0301	de24	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase	4.02613590438081
HVO_RS01440	HVO_B0297	de02	hypothetical protein	1.53617879121238
HVO_RS01440	HVO_B0297	de04	hypothetical protein	2.21189172915268
HVO_RS01440	HVO_B0297	de08	hypothetical protein	2.57643802698173
HVO_RS01440	HVO_B0297	de24	hypothetical protein	1.69673616783081
HVO_RS01420	HVO_B0293	de04	sn-glycerol-3-phosphate ABC transporter permease	2.47802016463875
HVO_RS01410	HVO_B0291	de04	glycerophosphodiester phosphodiesterase	-3.35503753241093
HVO_RS01395	HVO_B0288	de02	hypothetical protein	-1.40551595685404
HVO_RS01395	HVO_B0288	de04	hypothetical protein	-1.47515361807625
HVO_RS01395	HVO_B0288	de08	hypothetical protein	-1.4613451937598
HVO_RS01345	HVO_B0276	de02	EamA family transporter	-2.26647657590307
HVO_RS01345	HVO_B0276	de04	EamA family transporter	-1.795445268446
HVO_RS01330	HVO_B0273	de02	histidine kinase	2.33114587291043
HVO_RS01330	HVO_B0273	de04	histidine kinase	2.23219482499409
HVO_RS01295	HVO_B0266	de02	glutamate dehydrogenase	2.05590801622305
HVO_RS01295	HVO_B0266	de04	glutamate dehydrogenase	1.95448599212081
HVO_RS01295	HVO_B0266	de08	glutamate dehydrogenase	2.17257252491879
HVO_RS01235	HVO_B0253	de04	fructose 1,6-bisphosphatase	2.32541118736381
HVO_RS01235	HVO_B0253	de08	fructose 1,6-bisphosphatase	2.6528022008241
HVO_RS01215	HVO_B0248	de04	oxidoreductase	-2.96521051060867
HVO_RS01215	HVO_B0248	de08	oxidoreductase	-3.62787577640564
HVO_RS01190	HVO_B0242	de04	IS200/IS605 family transposase ISHvo18	1.5813004651912
HVO_RS01190	HVO_B0242	de08	IS200/IS605 family transposase ISHvo18	1.76810550786679
HVO_RS01190	HVO_B0242	de24	IS200/IS605 family transposase ISHvo18	1.50365527800895
HVO_RS01155	HVO_RS01155	de02	hypothetical protein	3.43541099566885
HVO_RS01155	HVO_RS01155	de04	hypothetical protein	2.97445455481182
HVO_RS01155	HVO_RS01155	de08	hypothetical protein	2.90207853467175
HVO_RS01155	HVO_RS01155	de24	hypothetical protein	3.54856372326857
HVO_RS01120	HVO_B0228	de02	ABC transporter substrate-binding protein	2.51321090865149
HVO_RS01120	HVO_B0228	de04	ABC transporter substrate-binding protein	2.74130646483072
HVO_RS01120	HVO_B0228	de08	ABC transporter substrate-binding protein	2.7446173741906
HVO_RS01120	HVO_B0228	de24	ABC transporter substrate-binding protein	2.5352139719508
HVO_RS01105	HVO_B0224	de02	cupin	4.32947665959312
HVO_RS01105	HVO_B0224	de04	cupin	5.08979537999936
HVO_RS01105	HVO_B0224	de08	cupin	5.21356259813902
HVO_RS01105	HVO_B0224	de24	cupin	3.99282788298496
HVO_RS01100	HVO_B0223	de04	hypothetical protein	2.23909945739887
HVO_RS01045	HVO_B0212	de00	hypothetical protein	6.40384544821127
HVO_RS01045	HVO_B0212	de02	hypothetical protein	6.40787325575725
HVO_RS01045	HVO_B0212	de04	hypothetical protein	6.2210317476947
HVO_RS01045	HVO_B0212	de08	hypothetical protein	6.57707839505338
HVO_RS01045	HVO_B0212	de24	hypothetical protein	6.3746890401481
HVO_RS00985	HVO_B0200	de02	malate synthase	2.60343483320899
HVO_RS00985	HVO_B0200	de04	malate synthase	2.49437505032789
HVO_RS00985	HVO_B0200	de08	malate synthase	2.74107858915465
HVO_RS00980	HVO_B0199	de04	tRNA-specific adenosine deaminase	3.09470423634566
HVO_RS00980	HVO_B0199	de08	tRNA-specific adenosine deaminase	2.39336529721535
HVO_RS00975	HVO_B0198	de04	iron ABC transporter substrate-binding protein	5.04785682732336
HVO_RS00975	HVO_B0198	de08	iron ABC transporter substrate-binding protein	6.04089632697185
HVO_RS00975	HVO_B0198	de24	iron ABC transporter substrate-binding protein	6.16057851395692
HVO_RS00960	HVO_B0195	de02	hypothetical protein	-0.947131146078959
HVO_RS00960	HVO_B0195	de04	hypothetical protein	-0.652720874067534
HVO_RS00955	HVO_B0194	de02	hypothetical protein	-1.34215266940073
HVO_RS00955	HVO_B0194	de04	hypothetical protein	-1.47325692104972
HVO_RS00950	HVO_B0193	de00	transcriptional regulator	1.91080219376661
HVO_RS00950	HVO_B0193	de02	transcriptional regulator	2.82836315560082
HVO_RS00950	HVO_B0193	de04	transcriptional regulator	3.62872811986415
HVO_RS00950	HVO_B0193	de08	transcriptional regulator	2.6847439998919
HVO_RS00950	HVO_B0193	de24	transcriptional regulator	2.65097432042367
HVO_RS00945	HVO_B0192	de02	hypothetical protein	2.22565789204149
HVO_RS00945	HVO_B0192	de04	hypothetical protein	2.00571168265682
HVO_RS00945	HVO_B0192	de08	hypothetical protein	1.79756000490285
HVO_RS00945	HVO_B0192	de24	hypothetical protein	2.01595889814759
HVO_RS00800	HVO_B0163	de08	hypothetical protein	4.53328268213122
HVO_RS00780	HVO_B0159	de04	bacterio-opsin activator-like protein	2.48597329210625
HVO_RS00780	HVO_B0159	de08	bacterio-opsin activator-like protein	2.23649000541323
HVO_RS00770	HVO_RS00770	de02	hypothetical protein	3.58354266717106
HVO_RS00770	HVO_RS00770	de04	hypothetical protein	3.25538256687725
HVO_RS00770	HVO_RS00770	de08	hypothetical protein	2.86130522328955
HVO_RS00770	HVO_RS00770	de24	hypothetical protein	2.79737350528326
HVO_RS00765	HVO_B0155	de02	ISNCY family transposase ISHvo14	2.45881509040951
HVO_RS00765	HVO_B0155	de04	ISNCY family transposase ISHvo14	2.41607359917128
HVO_RS00755	HVO_RS00755	de02	response regulator	1.08267104876327
HVO_RS00755	HVO_RS00755	de04	response regulator	1.09340974972699
HVO_RS00755	HVO_RS00755	de08	response regulator	0.894596241464074
HVO_RS00905	HVO_B0184	de04	peptide ABC transporter substrate-binding protein	-1.80000323700321
HVO_RS00905	HVO_B0184	de24	peptide ABC transporter substrate-binding protein	2.53656802622177
HVO_RS19690	HVO_B0281	de02	hypothetical protein	5.24462148113745
HVO_RS19690	HVO_B0281	de04	hypothetical protein	4.51837537967332
HVO_RS00735	HVO_B0152	de02	IS4 family transposase	2.46913791654345
HVO_RS01210	HVO_B0245	de02	molybdenum cofactor guanylyltransferase	2.90457666060347
HVO_RS01210	HVO_B0245	de04	molybdenum cofactor guanylyltransferase	3.5198710395028
HVO_RS01210	HVO_B0245	de08	molybdenum cofactor guanylyltransferase	2.78265607011956
HVO_RS00065	HVO_RS00065	de02	hypothetical protein	0.56407871920167
HVO_RS00065	HVO_RS00065	de24	hypothetical protein	0.935108656616656
HVO_RS01040	HVO_B0211	de02	hydrolase TatD	2.680734678359
HVO_RS01040	HVO_B0211	de04	hydrolase TatD	3.47242438080439
HVO_RS01040	HVO_B0211	de08	hydrolase TatD	4.01308421872318
HVO_RS01040	HVO_B0211	de24	hydrolase TatD	3.59670632377768
HVO_RS19660	HVO_RS19660	de02	hypothetical protein	4.69788648576207
HVO_RS19660	HVO_RS19660	de04	hypothetical protein	4.89872368897459
HVO_RS19715	HVO_A0004	de02	peptide-methionine (S)-S-oxide reductase	6.61743872333636
HVO_RS19715	HVO_A0004	de04	peptide-methionine (S)-S-oxide reductase	6.77043734309263
HVO_RS19725	HVO_RS19725	de02	hypothetical protein	2.65237859268326
HVO_RS19725	HVO_RS19725	de04	hypothetical protein	2.74159781568949
HVO_RS19725	HVO_RS19725	de08	hypothetical protein	3.36578577700924
HVO_RS19760	HVO_RS19760	de02	hypothetical protein	1.97825425373774
HVO_RS19760	HVO_RS19760	de04	hypothetical protein	2.45137217052612
HVO_RS19760	HVO_RS19760	de08	hypothetical protein	1.90878512409298
HVO_RS19760	HVO_RS19760	de24	hypothetical protein	2.0153664684973
HVO_RS19775	HVO_A0100	de24	IS630 family transposase	3.50728248676401
HVO_RS19810	HVO_A0134	de04	IS5/IS1182 family transposase	3.75931546176763
HVO_RS02950	HVO_A0247	de02	hypothetical protein	2.98026675278719
HVO_RS02950	HVO_A0247	de04	hypothetical protein	2.97911438688599
HVO_RS19865	HVO_RS19865	de04	hypothetical protein	1.2248717904484
HVO_RS19870	HVO_RS19870	de02	hypothetical protein	4.36208291115459
HVO_RS19870	HVO_RS19870	de04	hypothetical protein	3.83878552038782
HVO_RS19870	HVO_RS19870	de08	hypothetical protein	4.41539478072823
HVO_RS03015	HVO_A0265	de08	IS6 family transposase	2.62091538060054
HVO_RS03235	HVO_A0309	de08	transposase	3.4367075999197
HVO_RS19905	HVO_A0345	de02	hypothetical protein	-2.44109856652016
HVO_RS19905	HVO_A0345	de04	hypothetical protein	-2.53763015824972
HVO_RS19935	HVO_A0353	de04	ISH3 family transposase	1.18548383500133
HVO_RS19935	HVO_A0353	de08	ISH3 family transposase	0.872530046658108
HVO_RS03435	HVO_A0354	de02	ISH3 family transposase	1.10363548831556
HVO_RS03435	HVO_A0354	de04	ISH3 family transposase	1.19856781585662
HVO_RS03435	HVO_A0354	de08	ISH3 family transposase	0.918530559900837
HVO_RS03435	HVO_A0354	de24	ISH3 family transposase	0.960138019072268
HVO_RS19965	HVO_A0400	de02	hypothetical protein	2.68404663137519
HVO_RS19965	HVO_A0400	de04	hypothetical protein	2.60281877592526
HVO_RS19965	HVO_A0400	de24	hypothetical protein	-4.26263848220496
HVO_RS19970	HVO_A0403	de02	IS630 family transposase	2.6255982859651
HVO_RS19970	HVO_A0403	de04	IS630 family transposase	3.13822676322676
HVO_RS19970	HVO_A0403	de08	IS630 family transposase	2.71858326540544
HVO_RS20040	HVO_A0434	de02	SAM-dependent methyltransferase	3.92889371671151
HVO_RS20040	HVO_A0434	de04	SAM-dependent methyltransferase	4.4697690358498
HVO_RS20040	HVO_A0434	de08	SAM-dependent methyltransferase	4.24620200267519
HVO_RS03785	HVO_A0437	de02	hypothetical protein	-1.91652567845713
HVO_RS03785	HVO_A0437	de04	hypothetical protein	-1.7884800826467
HVO_RS03810	HVO_A0442	de04	calcium-binding protein	-1.2766333658278
HVO_RS03810	HVO_A0442	de08	calcium-binding protein	-1.76578903770936
HVO_RS03840	HVO_RS03840	de02	UspA domain protein	-1.05827887000046
HVO_RS03840	HVO_RS03840	de04	UspA domain protein	-0.709446550199486
HVO_RS03840	HVO_RS03840	de08	UspA domain protein	-0.883818494702319
HVO_RS03880	HVO_A0459	de02	hypothetical protein	1.96671254531938
HVO_RS03880	HVO_A0459	de04	hypothetical protein	2.94815908947274
HVO_RS03880	HVO_A0459	de08	hypothetical protein	2.41166159757086
HVO_RS03880	HVO_A0459	de24	hypothetical protein	2.71416618487911
HVO_RS03885	HVO_A0460	de04	phosphonate ABC transporter, permease protein PhnE	-1.89188003210758
HVO_RS03915	HVO_A0466	de02	exo-alpha-sialidase	2.83181929781691
HVO_RS03925	HVO_A0468	de00	hypothetical protein	-0.673185721565277
HVO_RS03925	HVO_A0468	de02	hypothetical protein	-2.32438794493293
HVO_RS03925	HVO_A0468	de04	hypothetical protein	-2.41102667304943
HVO_RS03925	HVO_A0468	de08	hypothetical protein	-2.39238256058324
HVO_RS03925	HVO_A0468	de24	hypothetical protein	-2.25483806722249
HVO_RS03930	HVO_A0469	de02	pilus protein	-2.23618082351922
HVO_RS03930	HVO_A0469	de04	pilus protein	-2.18076980351202
HVO_RS03945	HVO_A0472	de02	thioredoxin reductase	1.35879978540691
HVO_RS03945	HVO_A0472	de04	thioredoxin reductase	2.05363211808063
HVO_RS03945	HVO_A0472	de08	thioredoxin reductase	1.73927978006361
HVO_RS03945	HVO_A0472	de24	thioredoxin reductase	1.17126576187863
HVO_RS03970	HVO_A0477	de04	phosphate ABC transporter substrate-binding protein	2.39762168073246
HVO_RS04055	HVO_A0495	de04	bacterio-opsin activator-like protein	-1.82390141483604
HVO_RS04065	HVO_A0497	de02	hypothetical protein	-2.82339334041552
HVO_RS04065	HVO_A0497	de08	hypothetical protein	-3.11664721372408
HVO_RS04085	HVO_A0501	de02	tellurium resistance protein	-2.25019042077619
HVO_RS04085	HVO_A0501	de04	tellurium resistance protein	-2.7370159117693
HVO_RS04085	HVO_A0501	de08	tellurium resistance protein	-2.85968489392704
HVO_RS04085	HVO_A0501	de24	tellurium resistance protein	-2.00082330341492
HVO_RS04090	HVO_A0503	de02	amidohydrolase	1.55187266545402
HVO_RS04090	HVO_A0503	de04	amidohydrolase	1.61139422048908
HVO_RS04090	HVO_A0503	de08	amidohydrolase	1.39694450389894
HVO_RS04105	HVO_A0507	de00	phenylacetate-CoA oxygenase subunit PaaA	-1.48100062599897
HVO_RS04105	HVO_A0507	de02	phenylacetate-CoA oxygenase subunit PaaA	-1.3974839290665
HVO_RS04105	HVO_A0507	de04	phenylacetate-CoA oxygenase subunit PaaA	-1.24131858663017
HVO_RS04110	HVO_A0508	de02	phenylacetic acid degradation protein PaaB	-1.61788469345966
HVO_RS04110	HVO_A0508	de04	phenylacetic acid degradation protein PaaB	-1.31451207048373
HVO_RS04110	HVO_A0508	de08	phenylacetic acid degradation protein PaaB	-1.3543174926862
HVO_RS04115	HVO_A0509	de24	phenylacetic acid degradation protein PaaC	1.59885820541597
HVO_RS04120	HVO_A0510	de02	hypothetical protein	-1.48451356366784
HVO_RS04120	HVO_A0510	de04	hypothetical protein	-1.15312423872249
HVO_RS04120	HVO_A0510	de24	hypothetical protein	1.25354372618104
HVO_RS04130	HVO_A0513	de02	thioesterase	-1.83452693278473
HVO_RS04130	HVO_A0513	de04	thioesterase	-2.04551130550425
HVO_RS04130	HVO_A0513	de08	thioesterase	-1.70966985739296
HVO_RS04225	HVO_A0533	de02	phosphohydrolase	-2.97262802467959
HVO_RS04225	HVO_A0533	de04	phosphohydrolase	-1.75276781400253
HVO_RS04250	HVO_A0538	de02	hypothetical protein	2.75358021139465
HVO_RS04250	HVO_A0538	de04	hypothetical protein	3.99534906088995
HVO_RS04280	HVO_A0545	de02	TetR family transcriptional regulator	3.08211274113245
HVO_RS04280	HVO_A0545	de04	TetR family transcriptional regulator	3.38710282345443
HVO_RS04280	HVO_A0545	de08	TetR family transcriptional regulator	2.82089784610208
HVO_RS04280	HVO_A0545	de24	TetR family transcriptional regulator	3.03616276448548
HVO_RS04330	HVO_A0557	de02	iron ABC transporter substrate-binding protein	-1.43764186734817
HVO_RS04330	HVO_A0557	de04	iron ABC transporter substrate-binding protein	-1.27769614904602
HVO_RS04415	HVO_A0574	de04	hypothetical protein	2.61730521957663
HVO_RS04470	HVO_A0586	de02	glucose-1-phosphate thymidylyltransferase	-2.3592987743602
HVO_RS04470	HVO_A0586	de04	glucose-1-phosphate thymidylyltransferase	-3.22068487911765
HVO_RS04485	HVO_A0589	de02	transcriptional regulator	-1.86905886530313
HVO_RS04485	HVO_A0589	de04	transcriptional regulator	-2.42011683594199
HVO_RS04485	HVO_A0589	de08	transcriptional regulator	-2.55947595465004
HVO_RS04485	HVO_A0589	de24	transcriptional regulator	-2.75584694103129
HVO_RS04500	HVO_A0592	de02	hypothetical protein	-3.30456653184336
HVO_RS04500	HVO_A0592	de04	hypothetical protein	-7.95213626647814
HVO_RS04505	HVO_A0593	de02	transcriptional regulator	-2.66516068455641
HVO_RS04505	HVO_A0593	de04	transcriptional regulator	-2.73927105697294
HVO_RS04505	HVO_A0593	de08	transcriptional regulator	-2.37411907917086
HVO_RS04505	HVO_A0593	de24	transcriptional regulator	-3.19091876697383
HVO_RS04520	HVO_A0596	de00	hypothetical protein	-0.672715054660663
HVO_RS04520	HVO_A0596	de02	hypothetical protein	-3.23095586956109
HVO_RS04520	HVO_A0596	de04	hypothetical protein	-3.22526703392669
HVO_RS04520	HVO_A0596	de08	hypothetical protein	-3.23944920847303
HVO_RS04520	HVO_A0596	de24	hypothetical protein	-3.5146232749291
HVO_RS04540	HVO_A0600	de02	hypothetical protein	2.08865297787903
HVO_RS04540	HVO_A0600	de04	hypothetical protein	3.36538484108604
HVO_RS04540	HVO_A0600	de08	hypothetical protein	3.10072383804926
HVO_RS04540	HVO_A0600	de24	hypothetical protein	4.06698031487285
HVO_RS04545	HVO_A0601	de02	nitrous oxide reductase accessory protein NosL	1.86165469602319
HVO_RS04555	HVO_A0604	de02	hypothetical protein	-2.8733083258083
HVO_RS04555	HVO_A0604	de04	hypothetical protein	-2.05868761100344
HVO_RS04555	HVO_A0604	de08	hypothetical protein	-2.7224744532737
HVO_RS04555	HVO_A0604	de24	hypothetical protein	-2.61450364212928
HVO_RS04575	HVO_RS04575	de04	hypothetical protein	4.49730584816023
HVO_RS04575	HVO_RS04575	de24	hypothetical protein	5.23615296211704
HVO_RS04590	HVO_A0611	de24	ABC transporter substrate-binding protein	6.23552863637375
HVO_RS04600	HVO_A0615	de02	cold-shock protein	-0.637997515459951
HVO_RS04600	HVO_A0615	de04	cold-shock protein	-0.951210510395654
HVO_RS04600	HVO_A0615	de08	cold-shock protein	-1.09393068491917
HVO_RS04600	HVO_A0615	de24	cold-shock protein	-1.63302292823216
