new	old	variable	prot	val
HVO_RS00545	HVO_B0113	de08	LLM class F420-dependent oxidoreductase	2.40745412235743
HVO_RS00540	HVO_B0111	de24	mandelate racemase	1.29538407915671
HVO_RS00535	HVO_B0110	de08	alcohol dehydrogenase	1.97545983103884
HVO_RS00535	HVO_B0110	de24	alcohol dehydrogenase	1.71238607639393
HVO_RS00515	HVO_B0106	de04	sugar ABC transporter substrate-binding protein	2.29102777816811
HVO_RS00515	HVO_B0106	de24	sugar ABC transporter substrate-binding protein	2.12720371777122
HVO_RS00510	HVO_B0105	de08	amidohydrolase	2.06661804508679
HVO_RS00470	HVO_B0097	de08	dihydrodipicolinate synthase family protein	1.29394853970381
HVO_RS00465	HVO_B0096	de04	epimerase	2.05510201105525
HVO_RS00465	HVO_B0096	de08	epimerase	2.36112815230087
HVO_RS00465	HVO_B0096	de24	epimerase	2.60118158110479
HVO_RS00460	HVO_B0095	de00	UspA domain protein	1.10136693219143
HVO_RS00460	HVO_B0095	de02	UspA domain protein	0.789728212560373
HVO_RS00455	HVO_B0094	de00	hypothetical protein	1.62670130621089
HVO_RS00450	HVO_B0093	de04	peptide ABC transporter substrate-binding protein	1.63885988598511
HVO_RS00450	HVO_B0093	de08	peptide ABC transporter substrate-binding protein	2.34561756757066
HVO_RS00450	HVO_B0093	de24	peptide ABC transporter substrate-binding protein	2.55216929137477
HVO_RS00445	HVO_B0092	de24	peptide ABC transporter permease	1.96433936725305
HVO_RS00440	HVO_B0091	de04	ABC transporter permease	1.52532238800316
HVO_RS00425	HVO_B0088	de02	hypothetical protein	-1.31494855986017
HVO_RS00425	HVO_B0088	de24	hypothetical protein	0.970452342689441
HVO_RS00420	HVO_B0087	de24	mandelate racemase	1.5352139719508
HVO_RS00410	HVO_B0085	de04	polygalacturonase	1.46595913419183
HVO_RS00410	HVO_B0085	de08	polygalacturonase	2.12794617324938
HVO_RS00410	HVO_B0085	de24	polygalacturonase	2.01691628795004
HVO_RS00400	HVO_B0083	de04	gluconolactonase	1.23102523582031
HVO_RS00400	HVO_B0083	de08	gluconolactonase	1.34976096812491
HVO_RS00400	HVO_B0083	de24	gluconolactonase	1.44014071374537
HVO_RS00395	HVO_B0082	de02	peptide ABC transporter substrate-binding protein	1.56107332981429
HVO_RS00395	HVO_B0082	de08	peptide ABC transporter substrate-binding protein	2.27884246360494
HVO_RS00395	HVO_B0082	de24	peptide ABC transporter substrate-binding protein	2.07986953821783
HVO_RS00390	HVO_B0081	de24	peptide ABC transporter	1.75783860715209
HVO_RS00385	HVO_B0080	de04	cytochrome c550	1.91788264834643
HVO_RS00380	HVO_B0079	de04	ABC transporter ATP-binding protein	1.66775875737809
HVO_RS00375	HVO_B0078	de04	ABC transporter ATP-binding protein	1.85863622430581
HVO_RS00370	HVO_B0077	de00	hypothetical protein	-1.58504145002939
HVO_RS00370	HVO_B0077	de24	hypothetical protein	2.23852693789879
HVO_RS00365	HVO_B0076	de02	hydantoinase subunit beta	1.88526741358122
HVO_RS00360	HVO_B0075	de04	hypothetical protein	1.68706842506626
HVO_RS00360	HVO_B0075	de24	hypothetical protein	1.79326230611934
HVO_RS00355	HVO_B0074	de04	hypothetical protein	2.00221522861038
HVO_RS00340	HVO_B0071	de04	IMP dehydrogenase	-1.44951034015213
HVO_RS00315	HVO_B0065	de04	hypothetical protein	2.66863677496674
HVO_RS00310	HVO_B0064	de02	hypothetical protein	2.0804260980228
HVO_RS00310	HVO_B0064	de04	hypothetical protein	2.64353353781241
HVO_RS00305	HVO_B0063	de00	hypothetical protein	1.58134818597873
HVO_RS00300	HVO_B0062	de08	precorrin-6Y C5,15-methyltransferase (decarboxylating) subunit CbiT	1.42709258873677
HVO_RS00300	HVO_B0062	de24	precorrin-6Y C5,15-methyltransferase (decarboxylating) subunit CbiT	1.61586638904725
HVO_RS00295	HVO_B0061	de04	precorrin-2 C(20)-methyltransferase	-1.53233103389242
HVO_RS00290	HVO_B0060	de08	precorrin-4 C(11)-methyltransferase	1.56507447160077
HVO_RS00285	HVO_B0059	de08	cobalamin biosynthesis protein CbiG	1.41077478369808
HVO_RS00285	HVO_B0059	de24	cobalamin biosynthesis protein CbiG	1.99951236887983
HVO_RS00280	HVO_B0058	de08	cobalt-precorrin-2 C(20)-methyltransferase	1.42052331198406
HVO_RS00280	HVO_B0058	de24	cobalt-precorrin-2 C(20)-methyltransferase	1.29277641793432
HVO_RS00275	HVO_B0057	de08	precorrin-3B C(17)-methyltransferase	1.83106794781871
HVO_RS00275	HVO_B0057	de24	precorrin-3B C(17)-methyltransferase	1.89333356182735
HVO_RS00270	HVO_B0056	de04	ferredoxin	3.35717352361859
HVO_RS00270	HVO_B0056	de08	ferredoxin	3.29567573129004
HVO_RS00270	HVO_B0056	de24	ferredoxin	3.96110622632038
HVO_RS00265	HVO_B0055	de02	hypothetical protein	-1.98372838165234
HVO_RS00265	HVO_B0055	de08	hypothetical protein	2.56831654666693
HVO_RS00260	HVO_B0054	de08	ferredoxin	2.15681100336577
HVO_RS00260	HVO_B0054	de24	ferredoxin	2.48358448460913
HVO_RS00255	HVO_B0053	de08	hypothetical protein	2.06936624542659
HVO_RS00235	HVO_B0049	de08	precorrin isomerase	1.90765789381838
HVO_RS00235	HVO_B0049	de24	precorrin isomerase	2.25203158889327
HVO_RS00230	HVO_B0048	de24	cobalt-precorrin-7 (C(5))-methyltransferase	2.25969068880263
HVO_RS00220	HVO_B0046	de02	diaminobutyrate--2-oxoglutarate transaminase	-1.85140799884866
HVO_RS00215	HVO_B0045	de02	2,4-diaminobutyrate decarboxylase	-1.77020667916241
HVO_RS00205	HVO_B0043	de02	N-acetyltransferase	-2.06780857399179
HVO_RS00195	HVO_B0041	de04	iron transporter	1.37537508826214
HVO_RS00190	HVO_B0040	de02	IclR family transcriptional regulator	2.16943084197164
HVO_RS00190	HVO_B0040	de04	IclR family transcriptional regulator	2.24589225464496
HVO_RS00190	HVO_B0040	de08	IclR family transcriptional regulator	2.35154867127183
HVO_RS00190	HVO_B0040	de24	IclR family transcriptional regulator	2.20487261870088
HVO_RS00180	HVO_B0038A	de00	D-xylonate dehydratase	1.89190973613959
HVO_RS00180	HVO_B0038A	de04	D-xylonate dehydratase	2.24205858244929
HVO_RS00180	HVO_B0038A	de24	D-xylonate dehydratase	1.22882737008739
HVO_RS00150	HVO_B0032	de02	epimerase	-1.85661693488748
HVO_RS00115	HVO_B0025	de04	alcohol dehydrogenase	1.85122949109394
HVO_RS00115	HVO_B0025	de08	alcohol dehydrogenase	2.18992052345663
HVO_RS00090	HVO_B0020	de24	bacterio-opsin activator	1.58445864871003
HVO_RS00075	HVO_B0017	de04	hypothetical protein	1.20808002786808
HVO_RS00075	HVO_B0017	de24	hypothetical protein	1.50393865660458
HVO_RS00070	HVO_B0016	de08	hypothetical protein	-0.446188792251386
HVO_RS00045	HVO_B0009	de02	ring-hydroxylating oxygenase subunit alpha	1.5425089497117
HVO_RS00045	HVO_B0009	de04	ring-hydroxylating oxygenase subunit alpha	2.24387153902024
HVO_RS00045	HVO_B0009	de24	ring-hydroxylating oxygenase subunit alpha	2.00717657567337
HVO_RS00035	HVO_B0007	de04	bacterio-opsin activator	1.34653599880188
HVO_RS00035	HVO_B0007	de24	bacterio-opsin activator	1.56393279231472
HVO_RS00010	HVO_B0002	de02	acetylornithine deacetylase	-1.80214391197468
HVO_RS01840	HVO_B0382	de24	transcription factor	-1.06069509907838
HVO_RS01815	HVO_B0377	de08	hypothetical protein	1.73218281183569
HVO_RS01775	HVO_B0367	de24	hypothetical protein	2.54595570045347
HVO_RS01755	HVO_B0363	de02	dimethylsulfoxide reductase	-1.39908990441825
HVO_RS01745	HVO_B0361	de08	transcriptional regulator	-1.50770303996175
HVO_RS01745	HVO_B0361	de24	transcriptional regulator	-2.14493004925576
HVO_RS01735	HVO_B0359	de08	hypothetical protein	-2.6503458727367
HVO_RS01735	HVO_B0359	de24	hypothetical protein	-2.15287245475105
HVO_RS01730	HVO_B0358	de08	hypothetical protein	1.54076581612552
HVO_RS01725	HVO_B0357	de02	spermidine synthase	2.13483339999368
HVO_RS01725	HVO_B0357	de04	spermidine synthase	1.92614421443857
HVO_RS01725	HVO_B0357	de08	spermidine synthase	1.63885228948173
HVO_RS01720	HVO_B0356	de08	hypothetical protein	1.88951431031834
HVO_RS01720	HVO_B0356	de24	hypothetical protein	1.66634833217306
HVO_RS01715	HVO_B0355	de02	hypothetical protein	2.12177087389776
HVO_RS01715	HVO_B0355	de04	hypothetical protein	2.3477678230118
HVO_RS01715	HVO_B0355	de08	hypothetical protein	2.1086526769208
HVO_RS19705	HVO_RS19705	de24	hypothetical protein	1.204426466531
HVO_RS01710	HVO_B0354	de02	hypothetical protein	1.64747761100366
HVO_RS01710	HVO_B0354	de04	hypothetical protein	1.5050882850155
HVO_RS01710	HVO_B0354	de08	hypothetical protein	1.41138314348687
HVO_RS01710	HVO_B0354	de24	hypothetical protein	1.5655915231833
HVO_RS01700	HVO_B0352	de02	hypothetical protein	-1.11757043761346
HVO_RS01700	HVO_B0352	de04	hypothetical protein	-0.866502501565708
HVO_RS01690	HVO_B0350	de24	trehalose utilization protein ThuA	1.81302338697895
HVO_RS01675	HVO_B0347	de04	oxidoreductase	1.22584465673924
HVO_RS01660	HVO_B0344	de02	UspA domain protein	-1.533831966935
HVO_RS01660	HVO_B0344	de24	UspA domain protein	1.50766970579772
HVO_RS01585	HVO_B0330	de00	hypothetical protein	2.59026288822567
HVO_RS01570	HVO_B0327	de08	hypothetical protein	2.91606345455362
HVO_RS01555	HVO_B0324	de24	DUF362 domain-containing protein	1.74995992141901
HVO_RS01550	HVO_B0323	de04	oxidoreductase	2.06544671333542
HVO_RS01550	HVO_B0323	de08	oxidoreductase	1.88508658186604
HVO_RS01550	HVO_B0323	de24	oxidoreductase	2.12504513193575
HVO_RS01540	HVO_B0321	de04	NADH-dependent dehydrogenase	1.7375277100561
HVO_RS01540	HVO_B0321	de24	NADH-dependent dehydrogenase	1.96505155591971
HVO_RS01535	HVO_B0320	de02	ArcR family transcriptional regulator	-2.33592044561087
HVO_RS01530	HVO_B0319	de04	transcriptional regulator	2.31124588230041
HVO_RS01530	HVO_B0319	de08	transcriptional regulator	2.55558541862889
HVO_RS01525	HVO_B0318	de02	glucose ABC transporter substrate-binding protein	1.5397689675108
HVO_RS01525	HVO_B0318	de24	glucose ABC transporter substrate-binding protein	1.71921542712814
HVO_RS01450	HVO_B0300	de24	urate oxidase	1.55717913292374
HVO_RS01445	HVO_B0299	de08	hydroxyisourate hydrolase	-3.96107097018117
HVO_RS01435	HVO_B0296	de04	hypothetical protein	-1.70506437037396
HVO_RS01420	HVO_B0293	de02	sn-glycerol-3-phosphate ABC transporter permease	2.16353782416182
HVO_RS01415	HVO_B0292	de02	ABC transporter substrate-binding protein	1.51194016618722
HVO_RS01415	HVO_B0292	de04	ABC transporter substrate-binding protein	1.78667004293996
HVO_RS01410	HVO_B0291	de24	glycerophosphodiester phosphodiesterase	-2.40655048541478
HVO_RS01390	HVO_B0287	de24	hypothetical protein	-2.47134526890651
HVO_RS01385	HVO_B0286	de04	hypothetical protein	1.30293877834852
HVO_RS01375	HVO_B0284	de02	translation initiation factor	-3.26696157276662
HVO_RS01375	HVO_B0284	de04	translation initiation factor	-1.67279756944739
HVO_RS01375	HVO_B0284	de08	translation initiation factor	-3.48595043715731
HVO_RS01370	HVO_B0283	de02	transcriptional regulator	1.67131274572104
HVO_RS01370	HVO_B0283	de04	transcriptional regulator	1.60074683058998
HVO_RS01370	HVO_B0283	de08	transcriptional regulator	1.70037520291657
HVO_RS01370	HVO_B0283	de24	transcriptional regulator	2.03258354326752
HVO_RS01355	HVO_B0279	de02	SAM-dependent methyltransferase	1.42369476072515
HVO_RS01355	HVO_B0279	de04	SAM-dependent methyltransferase	1.69548626399288
HVO_RS01345	HVO_B0276	de08	EamA family transporter	-1.91340588690476
HVO_RS01345	HVO_B0276	de24	EamA family transporter	-1.76492838564229
HVO_RS01335	HVO_B0274	de02	hypothetical protein	-1.85994678443237
HVO_RS01335	HVO_B0274	de24	hypothetical protein	-1.76003618653184
HVO_RS01330	HVO_B0273	de08	histidine kinase	1.95294600753529
HVO_RS01305	HVO_B0268	de04	alkane monooxygenase	1.85173169759584
HVO_RS01300	HVO_B0267	de02	X-Pro dipeptidase	1.18746722357992
HVO_RS01300	HVO_B0267	de04	X-Pro dipeptidase	1.58300618935389
HVO_RS01300	HVO_B0267	de08	X-Pro dipeptidase	2.17977822980837
HVO_RS01300	HVO_B0267	de24	X-Pro dipeptidase	2.53277346708039
HVO_RS01295	HVO_B0266	de24	glutamate dehydrogenase	1.78996990433963
HVO_RS01260	HVO_B0259	de02	hypothetical protein	1.78582789054387
HVO_RS01260	HVO_B0259	de04	hypothetical protein	2.6072623996577
HVO_RS01260	HVO_B0259	de08	hypothetical protein	1.8222129255067
HVO_RS01235	HVO_B0253	de02	fructose 1,6-bisphosphatase	1.81277435066089
HVO_RS01235	HVO_B0253	de24	fructose 1,6-bisphosphatase	2.40790921574308
HVO_RS01215	HVO_B0248	de24	oxidoreductase	-2.56518872230712
HVO_RS01190	HVO_B0242	de02	IS200/IS605 family transposase ISHvo18	1.26879973628792
HVO_RS01170	HVO_B0237	de04	hypothetical protein	1.72969401530022
HVO_RS01170	HVO_B0237	de08	hypothetical protein	1.72008688439756
HVO_RS01170	HVO_B0237	de24	hypothetical protein	2.15112297555513
HVO_RS01165	HVO_B0236	de02	NADH dehydrogenase	-2.24485533831646
HVO_RS01165	HVO_B0236	de04	NADH dehydrogenase	-2.22657041891374
HVO_RS01130	HVO_B0230	de08	ABC transporter permease	1.64762632524044
HVO_RS01100	HVO_B0223	de02	hypothetical protein	1.58039096977289
HVO_RS01100	HVO_B0223	de08	hypothetical protein	1.7495655669843
HVO_RS01070	HVO_B0217	de02	branched-chain amino acid ABC transporter substrate-binding protein	1.18746722357992
HVO_RS01070	HVO_B0217	de04	branched-chain amino acid ABC transporter substrate-binding protein	1.78100373221223
HVO_RS01070	HVO_B0217	de08	branched-chain amino acid ABC transporter substrate-binding protein	1.46704807898806
HVO_RS01070	HVO_B0217	de24	branched-chain amino acid ABC transporter substrate-binding protein	1.27380427880578
HVO_RS01025	HVO_B0208	de24	xylose isomerase	2.1515951971168
HVO_RS00985	HVO_B0200	de24	malate synthase	2.56474301565431
HVO_RS00980	HVO_B0199	de02	tRNA-specific adenosine deaminase	1.83645966194155
HVO_RS00970	HVO_B0197	de08	iron ABC transporter permease	2.21769078480892
HVO_RS00970	HVO_B0197	de24	iron ABC transporter permease	2.11005590626527
HVO_RS00960	HVO_B0195	de00	hypothetical protein	0.512473437850143
HVO_RS00960	HVO_B0195	de08	hypothetical protein	-0.815389436328934
HVO_RS00960	HVO_B0195	de24	hypothetical protein	0.831181937649693
HVO_RS00955	HVO_B0194	de08	hypothetical protein	-0.844036525740839
HVO_RS00955	HVO_B0194	de24	hypothetical protein	-1.07960385828404
HVO_RS00940	HVO_B0191	de04	hypothetical protein	1.44797114679168
HVO_RS00915	HVO_B0186	de04	nickel ABC transporter permease	-1.80769992104145
HVO_RS00900	HVO_B0183	de04	racemase	1.96382753122742
HVO_RS00895	HVO_B0182	de02	deoxyhypusine synthase	2.19583792690919
HVO_RS00840	HVO_B0171	de04	hypothetical protein	-0.888111388853351
HVO_RS00780	HVO_B0159	de24	bacterio-opsin activator-like protein	2.2194694198858
HVO_RS00765	HVO_B0155	de08	ISNCY family transposase ISHvo14	2.08705708116587
HVO_RS00755	HVO_RS00755	de24	response regulator	0.722216524715716
HVO_RS00745	HVO_B0153	de04	Mur ligase family CapB protein	1.16914825927543
HVO_RS00560	HVO_B0116	de24	short-chain family oxidoreductase	1.86093579817599
HVO_RS01115	HVO_B0227	de02	ABC transporter ATP-binding protein	1.66889792332125
HVO_RS01115	HVO_B0227	de04	ABC transporter ATP-binding protein	2.00727840241151
HVO_RS01115	HVO_B0227	de08	ABC transporter ATP-binding protein	1.99868870199872
HVO_RS01115	HVO_B0227	de24	ABC transporter ATP-binding protein	1.66586721871215
HVO_RS19690	HVO_B0281	de08	hypothetical protein	2.90143578476227
HVO_RS00735	HVO_B0152	de04	IS4 family transposase	2.31987334301423
HVO_RS00735	HVO_B0152	de08	IS4 family transposase	2.3258345569175
HVO_RS00910	HVO_B0185	de04	glutathione ABC transporter permease	-1.21504073628206
HVO_RS00910	HVO_B0185	de24	glutathione ABC transporter permease	2.75504957085889
HVO_RS00245	HVO_B0051	de08	magnesium chelatase	1.5889812572621
HVO_RS00245	HVO_B0051	de24	magnesium chelatase	2.12071824689304
HVO_RS00415	HVO_B0086	de04	choline-sulfatase	1.27368470812628
HVO_RS00495	HVO_B0102	de02	glycosyl hydrolase family 88	1.50939531846728
HVO_RS00495	HVO_B0102	de04	glycosyl hydrolase family 88	1.79231418577555
HVO_RS00495	HVO_B0102	de08	glycosyl hydrolase family 88	1.89405231848172
HVO_RS01210	HVO_B0245	de24	molybdenum cofactor guanylyltransferase	1.66263189876177
HVO_RS00695	HVO_B0143	de02	HTR-like protein	-1.1771173606936
HVO_RS00065	HVO_RS00065	de04	hypothetical protein	0.578775833120659
HVO_RS00065	HVO_RS00065	de08	hypothetical protein	0.554308669885605
HVO_RS00665	HVO_B0137	de24	DNA-binding protein	-3.79184333457086
HVO_RS00930	HVO_B0189	de04	sulfate ABC transporter permease	1.47802016463875
HVO_RS00930	HVO_B0189	de08	sulfate ABC transporter permease	1.85442404337668
HVO_RS00845	HVO_B0172	de00	sodium-dependent phosphate transporter	-1.75852353284218
HVO_RS00845	HVO_B0172	de04	sodium-dependent phosphate transporter	-1.5858250849168
HVO_RS00845	HVO_B0172	de08	sodium-dependent phosphate transporter	-1.89351221548471
HVO_RS00845	HVO_B0172	de24	sodium-dependent phosphate transporter	-2.41674850522449
HVO_RS00725	HVO_B0150	de24	ABC transporter substrate-binding protein	2.06928627658121
HVO_RS19735	HVO_RS19735	de00	hypothetical protein	-1.29031921416559
HVO_RS19775	HVO_A0100	de02	IS630 family transposase	2.36972949245747
HVO_RS19775	HVO_A0100	de04	IS630 family transposase	2.82323229620518
HVO_RS19775	HVO_A0100	de08	IS630 family transposase	2.37496918722039
HVO_RS19790	HVO_RS19790	de04	hypothetical protein	0.760490566973269
HVO_RS19790	HVO_RS19790	de24	hypothetical protein	0.74657200716618
HVO_RS19810	HVO_A0134	de08	IS5/IS1182 family transposase	3.10336694979587
HVO_RS19810	HVO_A0134	de24	IS5/IS1182 family transposase	2.76147122390498
HVO_RS02950	HVO_A0247	de08	hypothetical protein	2.87702493949757
HVO_RS02950	HVO_A0247	de24	hypothetical protein	2.11545516396942
HVO_RS19865	HVO_RS19865	de08	hypothetical protein	1.10213598096471
HVO_RS19870	HVO_RS19870	de24	hypothetical protein	2.92596590412131
HVO_RS03015	HVO_A0265	de02	IS6 family transposase	2.07684501456712
HVO_RS03235	HVO_A0309	de02	transposase	3.12998629529224
HVO_RS03235	HVO_A0309	de04	transposase	3.61315882856361
HVO_RS03235	HVO_A0309	de24	transposase	2.87341102111341
HVO_RS19905	HVO_A0345	de08	hypothetical protein	-2.59822189251502
HVO_RS19905	HVO_A0345	de24	hypothetical protein	-2.79498605391959
HVO_RS19915	HVO_RS19915	de02	transposase	1.61504935272375
HVO_RS19915	HVO_RS19915	de04	transposase	1.75050266875558
HVO_RS19915	HVO_RS19915	de08	transposase	1.93368963194949
HVO_RS19935	HVO_A0353	de02	ISH3 family transposase	0.927030294798129
HVO_RS03445	HVO_A0356	de08	hypothetical protein	1.21598041336908
HVO_RS19960	HVO_RS19960	de04	hypothetical protein	0.933241955211021
HVO_RS19970	HVO_A0403	de24	IS630 family transposase	2.5272098380099
HVO_RS20040	HVO_A0434	de00	SAM-dependent methyltransferase	-3.65241573735025
HVO_RS20045	HVO_RS20045	de02	hypothetical protein	1.31283049884995
HVO_RS20055	HVO_RS20055	de04	hypothetical protein	2.21372279539757
HVO_RS03895	HVO_A0462	de00	hypothetical protein	-3.16869328169263
HVO_RS04000	HVO_A0483	de00	ISH3 family transposase	-1.50834368836355
HVO_RS03785	HVO_A0437	de08	hypothetical protein	-1.56956492810861
HVO_RS03785	HVO_A0437	de24	hypothetical protein	-2.15203262632983
HVO_RS03810	HVO_A0442	de02	calcium-binding protein	-1.3245842014433
HVO_RS03810	HVO_A0442	de24	calcium-binding protein	-1.21279337485812
HVO_RS03815	HVO_A0443	de04	zinc ribbon domain-containing protein	1.09158295449134
HVO_RS03830	HVO_A0447	de04	rhomboid family intramembrane serine protease	1.19430264085832
HVO_RS03830	HVO_A0447	de08	rhomboid family intramembrane serine protease	1.24389664341127
HVO_RS03840	HVO_RS03840	de24	UspA domain protein	-0.532334641690268
HVO_RS03875	HVO_A0458	de02	chromosome partitioning protein ParA	2.01919805477914
HVO_RS03875	HVO_A0458	de04	chromosome partitioning protein ParA	2.11628754288847
HVO_RS03875	HVO_A0458	de08	chromosome partitioning protein ParA	2.01413292382797
HVO_RS03875	HVO_A0458	de24	chromosome partitioning protein ParA	2.14568819561597
HVO_RS03885	HVO_A0460	de02	phosphonate ABC transporter, permease protein PhnE	-1.50968232157925
HVO_RS03885	HVO_A0460	de08	phosphonate ABC transporter, permease protein PhnE	-1.4980898409973
HVO_RS03890	HVO_A0461	de02	phosphonate ABC transporter, permease protein PhnE	1.83386826107458
HVO_RS03890	HVO_A0461	de04	phosphonate ABC transporter, permease protein PhnE	1.3068873586053
HVO_RS03915	HVO_A0466	de04	exo-alpha-sialidase	2.00346093328465
HVO_RS03915	HVO_A0466	de08	exo-alpha-sialidase	1.96718913044598
HVO_RS03930	HVO_A0469	de08	pilus protein	-2.10817761299092
HVO_RS03930	HVO_A0469	de24	pilus protein	-1.47456514117349
HVO_RS03940	HVO_A0471	de08	phospholipase	-3.06251917538392
HVO_RS03955	HVO_A0474	de04	hypothetical protein	-0.63708150342014
HVO_RS03965	HVO_A0476	de04	hypothetical protein	1.57715333367017
HVO_RS03970	HVO_A0477	de02	phosphate ABC transporter substrate-binding protein	1.52418764206564
HVO_RS03970	HVO_A0477	de08	phosphate ABC transporter substrate-binding protein	1.62153470107147
HVO_RS03995	HVO_A0482	de04	hypothetical protein	-1.211176941306
HVO_RS03995	HVO_A0482	de08	hypothetical protein	-1.92320049532841
HVO_RS04005	HVO_A0485	de02	aminotransferase class V	2.44924174032088
HVO_RS04005	HVO_A0485	de04	aminotransferase class V	2.14279960187879
HVO_RS04005	HVO_A0485	de08	aminotransferase class V	1.88028929302469
HVO_RS04005	HVO_A0485	de24	aminotransferase class V	2.26054151889663
HVO_RS04015	HVO_A0487	de02	cobyrinic acid a,c-diamide synthase	-1.79604994405447
HVO_RS04015	HVO_A0487	de04	cobyrinic acid a,c-diamide synthase	-1.79403228466594
HVO_RS04040	HVO_A0492	de24	sugar ABC transporter permease	1.48331259184907
HVO_RS04055	HVO_A0495	de02	bacterio-opsin activator-like protein	-1.61971966477145
HVO_RS04055	HVO_A0495	de08	bacterio-opsin activator-like protein	-1.32141057801152
HVO_RS04055	HVO_A0495	de24	bacterio-opsin activator-like protein	-1.07192741476945
HVO_RS04060	HVO_A0496	de02	universal stress protein UspA	-1.52694734337585
HVO_RS04060	HVO_A0496	de04	universal stress protein UspA	-1.65269966690866
HVO_RS04060	HVO_A0496	de08	universal stress protein UspA	-1.12251130677272
HVO_RS04065	HVO_A0497	de00	hypothetical protein	-2.396968153632
HVO_RS04065	HVO_A0497	de04	hypothetical protein	-2.77060332474889
HVO_RS04080	HVO_A0500	de04	peptidyl-prolyl cis-trans isomerase	-1.05655820657931
HVO_RS04080	HVO_A0500	de08	peptidyl-prolyl cis-trans isomerase	-0.809122804635411
HVO_RS04085	HVO_A0501	de00	tellurium resistance protein	-1.27229087027421
HVO_RS04090	HVO_A0503	de24	amidohydrolase	0.756795125019977
HVO_RS04095	HVO_A0505	de02	enoyl-CoA hydratase	-1.39731721341173
HVO_RS04105	HVO_A0507	de08	phenylacetate-CoA oxygenase subunit PaaA	-1.02470963311953
HVO_RS04110	HVO_A0508	de00	phenylacetic acid degradation protein PaaB	-1.17885366278733
HVO_RS04110	HVO_A0508	de24	phenylacetic acid degradation protein PaaB	0.774059610024682
HVO_RS04115	HVO_A0509	de02	phenylacetic acid degradation protein PaaC	-1.35802974866252
HVO_RS04115	HVO_A0509	de04	phenylacetic acid degradation protein PaaC	-1.12877072924852
HVO_RS04130	HVO_A0513	de00	thioesterase	0.77044402114593
HVO_RS04130	HVO_A0513	de24	thioesterase	-1.78398155040066
HVO_RS04150	HVO_A0517	de04	LLM class flavin-dependent oxidoreductase	-1.21504073628206
HVO_RS04160	HVO_A0519	de02	monoamine oxidase	-0.783142371457774
HVO_RS04160	HVO_A0519	de24	monoamine oxidase	-0.8221124318605
HVO_RS04165	HVO_A0520	de02	phenylacetic acid degradation protein PaaI	-1.56095876892513
HVO_RS04170	HVO_A0521	de08	phenylacetyl-CoA ligase	1.46162148389062
HVO_RS04175	HVO_A0522	de02	3-ketoacyl-CoA thiolase	-1.53974194702031
HVO_RS04180	HVO_A0523	de00	ACP synthase	-1.91336599025029
HVO_RS04190	HVO_A0525	de08	3-hydroxybutyryl-CoA dehydratase	1.09337114539735
HVO_RS04195	HVO_A0527	de00	transcriptional regulator	-2.00453940277833
HVO_RS04195	HVO_A0527	de04	transcriptional regulator	-1.73934492992579
HVO_RS04195	HVO_A0527	de08	transcriptional regulator	-1.80509536239337
HVO_RS04215	HVO_A0531	de02	hypothetical protein	-1.05127533119758
